registry_name,function_name,module,subsystem,category,signature,parameter_count,required_parameters,optional_parameters,parameter_types,possible_internal,internal_reason,description,keywords
scientific_notation,scientific_notation,math_engine.arithmetic,arithmetic,numeric_conversion,"(value, significant_digits=6)",2,value,significant_digits,"numeric_value, unknown",False,,Express a number in scientific notation.,"scientific notation, power of ten, exponential notation"
parse_expression,parse_expression,math_engine.algebra,algebra,algebra_utilities,(expression),1,expression,,expression,True,Operation name begins with helper prefix 'parse_'.,Convert mathematical input into a symbolic expression.,"parse, expression, symbolic expression"
parse_variable,parse_variable,math_engine.algebra,algebra,algebra_utilities,(variable),1,variable,,variable,True,Operation name begins with helper prefix 'parse_'.,Convert a variable name into a symbolic variable.,"variable, symbol, parse variable"
simplify_expression,simplify_expression,math_engine.algebra,algebra,expression_manipulation,(expression),1,expression,,expression,False,,Simplify an algebraic expression.,"simplify, simplification, reduce expression"
expand_expression,expand_expression,math_engine.algebra,algebra,expression_manipulation,(expression),1,expression,,expression,False,,Expand products and powers in an algebraic expression.,"expand, distribute, foil"
factor_expression,factor_expression,math_engine.algebra,algebra,expression_manipulation,(expression),1,expression,,expression,False,,Factor an algebraic expression.,"factor, factoring, factor expression"
substitute,substitute,math_engine.algebra,algebra,expression_manipulation,"(expression, variable, value)",3,"expression, variable, value",,"expression, variable, numeric_value",False,,Substitute a value or expression for a variable.,"substitute, plug in, evaluate"
solve_equation,solve_equation,math_engine.algebra,algebra,equations,"(left_side, right_side=0, variable='x')",3,left_side,"right_side, variable","expression, expression, variable",False,,Solve an algebraic equation for a variable.,"solve, equation, find x, unknown"
find_roots,find_roots,math_engine.algebra,algebra,equations,"(expression, variable='x')",2,expression,variable,"expression, variable",False,,Find the roots or zeros of an expression.,"roots, zeros, solutions, x intercepts"
solve_system,solve_system,math_engine.algebra,algebra,systems,"(equations, variables)",2,"equations, variables",,"unknown, variable",False,,Solve a system of algebraic equations.,"system, simultaneous equations, solve system"
solve_real,solve_real,math_engine.algebra,algebra,equations,"(expression, variable='x')",2,expression,variable,"expression, variable",False,,Solve an equation over the real numbers.,"real solutions, solve real, real roots"
solve_inequality,solve_inequality,math_engine.algebra,algebra,inequalities,"(inequality, variable='x')",2,inequality,variable,"unknown, variable",False,,Solve an algebraic inequality.,"inequality, greater than, less than, solve inequality"
polynomial_degree,polynomial_degree,math_engine.algebra,algebra,polynomials,"(expression, variable='x')",2,expression,variable,"expression, variable",False,,Determine the degree of a polynomial.,"degree, polynomial degree"
polynomial_coefficients,polynomial_coefficients,math_engine.algebra,algebra,polynomials,"(expression, variable='x')",2,expression,variable,"expression, variable",False,,Return the coefficients of a polynomial.,"coefficients, polynomial coefficients"
quadratic_formula,quadratic_formula,math_engine.algebra,algebra,polynomials,"(a, b, c)",3,"a, b, c",,"bound_or_value, bound_or_value, unknown",False,,Solve a quadratic equation using the quadratic formula.,"quadratic formula, quadratic, roots"
complete_square,complete_square,math_engine.algebra,algebra,polynomials,"(expression, variable='x')",2,expression,variable,"expression, variable",False,,Rewrite a quadratic expression by completing the square.,"complete square, completing the square, vertex form"
rational_simplify,rational_simplify,math_engine.algebra,algebra,rational_expressions,(expression),1,expression,,expression,False,,Simplify a rational algebraic expression.,"rational expression, simplify fraction, cancel"
combine_rational,combine_rational,math_engine.algebra,algebra,rational_expressions,(expression),1,expression,,expression,False,,Combine rational terms into a single fraction.,"combine fractions, common denominator, rational"
partial_fraction,partial_fraction,math_engine.algebra,algebra,rational_expressions,"(expression, variable='x')",2,expression,variable,"expression, variable",False,,Decompose a rational expression into partial fractions.,"partial fractions, decompose fraction"
solve_exponential,solve_exponential,math_engine.algebra,algebra,exponential_logarithmic,"(left_side, right_side, variable='x')",3,"left_side, right_side",variable,"expression, expression, variable",False,,Solve an exponential equation.,"exponential equation, solve exponential"
solve_logarithmic,solve_logarithmic,math_engine.algebra,algebra,exponential_logarithmic,"(left_side, right_side, variable='x')",3,"left_side, right_side",variable,"expression, expression, variable",False,,Solve a logarithmic equation.,"log equation, logarithmic equation, solve logarithm"
logarithm,logarithm,math_engine.algebra,algebra,exponential_logarithmic,"(value, base=None)",2,value,base,"numeric_value, numeric_value",False,,Evaluate a logarithm with an optional base.,"log, logarithm, natural log"
find_domain,find_domain,math_engine.algebra,algebra,functions,"(expression, variable='x')",2,expression,variable,"expression, variable",False,,Determine the domain of an expression.,"domain, allowed values, function domain"
find_x_intercepts,find_x_intercepts,math_engine.algebra,algebra,functions,"(expression, variable='x')",2,expression,variable,"expression, variable",False,,Find the x-intercepts of a function.,"x intercept, x intercepts, zeros, roots"
find_y_intercept,find_y_intercept,math_engine.algebra,algebra,functions,"(expression, variable='x')",2,expression,variable,"expression, variable",False,,Find the y-intercept of a function.,"y intercept, y intercepts"
inverse_function,inverse_function,math_engine.algebra,algebra,functions,"(expression, variable='x', output_variable='y')",3,expression,"variable, output_variable","expression, variable, unknown",False,,Find the inverse of a function.,"inverse, inverse function"
polynomial_division,polynomial_division,math_engine.algebra,algebra,polynomials,"(dividend, divisor, variable='x')",3,"dividend, divisor",variable,"unknown, unknown, variable",False,,Divide one polynomial by another.,"polynomial division, long division, divide polynomial"
polynomial_remainder,polynomial_remainder,math_engine.algebra,algebra,polynomials,"(dividend, divisor, variable='x')",3,"dividend, divisor",variable,"unknown, unknown, variable",False,,Find the remainder from polynomial division.,"remainder, polynomial remainder"
polynomial_gcd,polynomial_gcd,math_engine.algebra,algebra,polynomials,"(expression_1, expression_2, variable='x')",3,"expression_1, expression_2",variable,"unknown, unknown, variable",False,,Find the greatest common divisor of two polynomials.,"polynomial gcd, greatest common divisor, common polynomial factor"
solve_absolute_value,solve_absolute_value,math_engine.algebra,algebra,equations,"(left_side, right_side=0, variable='x')",3,left_side,"right_side, variable","expression, expression, variable",False,,Solve an equation containing absolute values.,"absolute value equation, solve absolute value"
evaluate_piecewise,evaluate_piecewise,math_engine.algebra,algebra,piecewise,"(expression, variable, value)",3,"expression, variable, value",,"expression, variable, numeric_value",False,,Evaluate a piecewise-defined function at a value.,"piecewise, evaluate piecewise"
solve_piecewise,solve_piecewise,math_engine.algebra,algebra,piecewise,"(expression, right_side=0, variable='x')",3,expression,"right_side, variable","expression, expression, variable",False,,Solve an equation involving a piecewise expression.,"solve piecewise, piecewise equation"
get_numerator,get_numerator,math_engine.algebra,algebra,rational_expressions,(expression),1,expression,,expression,False,,Extract the numerator of a rational expression.,"numerator, top of fraction"
get_denominator,get_denominator,math_engine.algebra,algebra,rational_expressions,(expression),1,expression,,expression,False,,Extract the denominator of a rational expression.,"denominator, bottom of fraction"
leading_coefficient,leading_coefficient,math_engine.algebra,algebra,polynomials,"(expression, variable='x')",2,expression,variable,"expression, variable",False,,Find the leading coefficient of a polynomial.,"leading coefficient, highest degree coefficient"
polynomial_terms,polynomial_terms,math_engine.algebra,algebra,polynomials,"(expression, variable='x')",2,expression,variable,"expression, variable",False,,Return the terms of a polynomial.,"polynomial terms, terms"
detect_variables,detect_variables,math_engine.algebra,algebra,algebra_utilities,(expression),1,expression,,expression,True,Operation name begins with helper prefix 'detect_'.,Detect symbolic variables contained in an expression.,"detect variables, variables, symbols"
solve_system_advanced,solve_system_advanced,math_engine.algebra,algebra,systems,"(equations, variables)",2,"equations, variables",,"unknown, variable",False,,Solve and analyze a more general system of equations.,"advanced system, solve system, simultaneous equations"
classify_system_solution,classify_system_solution,math_engine.algebra,algebra,systems,"(equations, variables)",2,"equations, variables",,"unknown, variable",False,,"Classify a system as having a unique solution, infinitely many solutions, or no solution.","classify system, unique solution, infinite solutions, no solution"
excluded_values,excluded_values,math_engine.algebra,algebra,functions,"(expression, variable='x')",2,expression,variable,"expression, variable",False,,Find values excluded from the domain of a rational expression.,"excluded values, restrictions, undefined values"
valid_domain,valid_domain,math_engine.algebra,algebra,functions,"(expression, variable='x')",2,expression,variable,"expression, variable",False,,Determine the valid real domain of an expression.,"valid domain, domain, restrictions"
find_range,find_range,math_engine.algebra,algebra,functions,"(expression, variable='x')",2,expression,variable,"expression, variable",False,,Determine the range of a function.,"range, function range, output values"
rectangle_area,rectangle_area,math_engine.geometry,geometry,2d_geometry,"(length, width)",2,"length, width",,"numeric_value, numeric_value",False,,Calculate the area of a rectangle.,"rectangle, area, length, width"
rectangle_perimeter,rectangle_perimeter,math_engine.geometry,geometry,2d_geometry,"(length, width)",2,"length, width",,"numeric_value, numeric_value",False,,Calculate the perimeter of a rectangle.,"rectangle, perimeter, length, width"
square_area,square_area,math_engine.geometry,geometry,2d_geometry,(side),1,side,,numeric_value,False,,Calculate the area of a square.,"square, area, side"
square_perimeter,square_perimeter,math_engine.geometry,geometry,2d_geometry,(side),1,side,,numeric_value,False,,Calculate the perimeter of a square.,"square, perimeter, side"
triangle_area,triangle_area,math_engine.geometry,geometry,triangle_geometry,"(base, height)",2,"base, height",,"numeric_value, numeric_value",False,,Calculate triangle area from base and height.,"triangle, area, base, height"
triangle_perimeter,triangle_perimeter,math_engine.geometry,geometry,triangle_geometry,"(side_a, side_b, side_c)",3,"side_a, side_b, side_c",,"unknown, unknown, unknown",False,,Calculate the perimeter of a triangle.,"triangle, perimeter, sides"
circle_area,circle_area,math_engine.geometry,geometry,circle_geometry,(radius),1,radius,,numeric_value,False,,Calculate the area of a circle.,"circle, area, radius"
circle_circumference,circle_circumference,math_engine.geometry,geometry,circle_geometry,(radius),1,radius,,numeric_value,False,,Calculate the circumference of a circle.,"circle, circumference, radius"
parallelogram_area,parallelogram_area,math_engine.geometry,geometry,2d_geometry,"(base, height)",2,"base, height",,"numeric_value, numeric_value",False,,Calculate the area of a parallelogram.,"parallelogram, area, base, height"
trapezoid_area,trapezoid_area,math_engine.geometry,geometry,2d_geometry,"(base_1, base_2, height)",3,"base_1, base_2, height",,"unknown, unknown, numeric_value",False,,Calculate the area of a trapezoid.,"trapezoid, area, bases, height"
rhombus_area,rhombus_area,math_engine.geometry,geometry,2d_geometry,"(diagonal_1, diagonal_2)",2,"diagonal_1, diagonal_2",,"unknown, unknown",False,,Calculate the area of a rhombus.,"rhombus, area, diagonals"
distance_between_points,distance_between_points,math_engine.geometry,geometry,coordinate_geometry,"(x1, y1, x2, y2)",4,"x1, y1, x2, y2",,"unknown, unknown, unknown, unknown",False,,Calculate the distance between two points.,"distance, points, coordinates"
midpoint,midpoint,math_engine.geometry,geometry,coordinate_geometry,"(x1, y1, x2, y2)",4,"x1, y1, x2, y2",,"unknown, unknown, unknown, unknown",False,,Find the midpoint between two points.,"midpoint, points, coordinates"
slope,slope,math_engine.geometry,geometry,coordinate_geometry,"(x1, y1, x2, y2)",4,"x1, y1, x2, y2",,"unknown, unknown, unknown, unknown",False,,Calculate the slope between two points.,"slope, rise, run, points"
line_from_point_slope,line_from_point_slope,math_engine.geometry,geometry,coordinate_geometry,"(x1, y1, line_slope)",3,"x1, y1, line_slope",,"unknown, unknown, unknown",False,,Construct a line from a point and slope.,"line, point slope, slope"
line_from_two_points,line_from_two_points,math_engine.geometry,geometry,coordinate_geometry,"(x1, y1, x2, y2)",4,"x1, y1, x2, y2",,"unknown, unknown, unknown, unknown",False,,Construct a line through two points.,"line, two points, equation"
are_parallel,are_parallel,math_engine.geometry,geometry,coordinate_geometry,"(slope_1, slope_2)",2,"slope_1, slope_2",,"unknown, unknown",False,,Determine whether two lines or slopes are parallel.,"parallel, lines, slopes"
are_perpendicular,are_perpendicular,math_engine.geometry,geometry,coordinate_geometry,"(slope_1, slope_2)",2,"slope_1, slope_2",,"unknown, unknown",False,,Determine whether two lines or slopes are perpendicular.,"perpendicular, lines, slopes"
pythagorean_hypotenuse,pythagorean_hypotenuse,math_engine.geometry,geometry,triangle_geometry,"(side_a, side_b)",2,"side_a, side_b",,"unknown, unknown",False,,Calculate the hypotenuse of a right triangle.,"pythagorean, hypotenuse, right triangle"
pythagorean_leg,pythagorean_leg,math_engine.geometry,geometry,triangle_geometry,"(hypotenuse, known_leg)",2,"hypotenuse, known_leg",,"unknown, unknown",False,,Calculate a missing leg of a right triangle.,"pythagorean, leg, right triangle"
triangle_is_valid,triangle_is_valid,math_engine.geometry,geometry,triangle_geometry,"(side_a, side_b, side_c)",3,"side_a, side_b, side_c",,"unknown, unknown, unknown",False,,Determine whether three side lengths form a valid triangle.,"triangle, valid, triangle inequality"
heron_triangle_area,heron_triangle_area,math_engine.geometry,geometry,triangle_geometry,"(side_a, side_b, side_c)",3,"side_a, side_b, side_c",,"unknown, unknown, unknown",False,,Calculate triangle area using Heron's formula.,"heron, triangle, area, three sides"
missing_triangle_angle,missing_triangle_angle,math_engine.geometry,geometry,triangle_geometry,"(angle_1, angle_2)",2,"angle_1, angle_2",,"angle, angle",False,,Calculate the missing angle of a triangle.,"triangle, missing angle, angle sum"
classify_triangle_by_sides,classify_triangle_by_sides,math_engine.geometry,geometry,triangle_geometry,"(side_a, side_b, side_c)",3,"side_a, side_b, side_c",,"unknown, unknown, unknown",False,,Classify a triangle by its sides.,"triangle, equilateral, isosceles, scalene"
classify_triangle_by_angles,classify_triangle_by_angles,math_engine.geometry,geometry,triangle_geometry,"(angle_1, angle_2, angle_3)",3,"angle_1, angle_2, angle_3",,"angle, angle, angle",False,,Classify a triangle by its angles.,"triangle, acute, right, obtuse"
circle_diameter,circle_diameter,math_engine.geometry,geometry,circle_geometry,(radius),1,radius,,numeric_value,False,,Calculate a circle's diameter from its radius.,"circle, diameter, radius"
arc_length,arc_length,math_engine.geometry,geometry,circle_geometry,"(radius, central_angle_degrees)",2,"radius, central_angle_degrees",,"numeric_value, angle",False,,Calculate the length of a circular arc.,"circle, arc, arc length"
sector_area,sector_area,math_engine.geometry,geometry,circle_geometry,"(radius, central_angle_degrees)",2,"radius, central_angle_degrees",,"numeric_value, angle",False,,Calculate the area of a circular sector.,"circle, sector, area"
semicircle_area,semicircle_area,math_engine.geometry,geometry,circle_geometry,(radius),1,radius,,numeric_value,False,,Calculate the area of a semicircle.,"circle, semicircle, area"
annulus_area,annulus_area,math_engine.geometry,geometry,circle_geometry,"(outer_radius, inner_radius)",2,"outer_radius, inner_radius",,"unknown, unknown",False,,Calculate the area of an annulus.,"circle, annulus, ring, area"
regular_polygon_perimeter,regular_polygon_perimeter,math_engine.geometry,geometry,polygon_geometry,"(number_of_sides, side_length)",2,"number_of_sides, side_length",,"unknown, numeric_value",False,,Calculate the perimeter of a regular polygon.,"polygon, regular, perimeter"
regular_polygon_interior_angle,regular_polygon_interior_angle,math_engine.geometry,geometry,polygon_geometry,(number_of_sides),1,number_of_sides,,unknown,False,,Calculate each interior angle of a regular polygon.,"polygon, interior angle, regular"
polygon_interior_angle_sum,polygon_interior_angle_sum,math_engine.geometry,geometry,polygon_geometry,(number_of_sides),1,number_of_sides,,unknown,False,,Calculate the sum of a polygon's interior angles.,"polygon, interior angles, angle sum"
regular_polygon_area_from_apothem,regular_polygon_area_from_apothem,math_engine.geometry,geometry,polygon_geometry,"(number_of_sides, side_length, apothem)",3,"number_of_sides, side_length, apothem",,"unknown, numeric_value, numeric_value",False,,Calculate regular polygon area from apothem and perimeter.,"polygon, apothem, area"
cube_volume,cube_volume,math_engine.geometry,geometry,solid_geometry,(side),1,side,,numeric_value,False,,Calculate the volume of a cube.,"cube, volume"
cube_surface_area,cube_surface_area,math_engine.geometry,geometry,solid_geometry,(side),1,side,,numeric_value,False,,Calculate the surface area of a cube.,"cube, surface area"
rectangular_prism_volume,rectangular_prism_volume,math_engine.geometry,geometry,solid_geometry,"(length, width, height)",3,"length, width, height",,"numeric_value, numeric_value, numeric_value",False,,Calculate rectangular prism volume.,"rectangular prism, volume"
rectangular_prism_surface_area,rectangular_prism_surface_area,math_engine.geometry,geometry,solid_geometry,"(length, width, height)",3,"length, width, height",,"numeric_value, numeric_value, numeric_value",False,,Calculate rectangular prism surface area.,"rectangular prism, surface area"
cylinder_volume,cylinder_volume,math_engine.geometry,geometry,solid_geometry,"(radius, height)",2,"radius, height",,"numeric_value, numeric_value",False,,Calculate cylinder volume.,"cylinder, volume"
cylinder_surface_area,cylinder_surface_area,math_engine.geometry,geometry,solid_geometry,"(radius, height)",2,"radius, height",,"numeric_value, numeric_value",False,,Calculate cylinder surface area.,"cylinder, surface area"
cone_volume,cone_volume,math_engine.geometry,geometry,solid_geometry,"(radius, height)",2,"radius, height",,"numeric_value, numeric_value",False,,Calculate cone volume.,"cone, volume"
cone_surface_area,cone_surface_area,math_engine.geometry,geometry,solid_geometry,"(radius, height)",2,"radius, height",,"numeric_value, numeric_value",False,,Calculate cone surface area.,"cone, surface area"
sphere_volume,sphere_volume,math_engine.geometry,geometry,solid_geometry,(radius),1,radius,,numeric_value,False,,Calculate sphere volume.,"sphere, volume"
sphere_surface_area,sphere_surface_area,math_engine.geometry,geometry,solid_geometry,(radius),1,radius,,numeric_value,False,,Calculate sphere surface area.,"sphere, surface area"
hemisphere_volume,hemisphere_volume,math_engine.geometry,geometry,solid_geometry,(radius),1,radius,,numeric_value,False,,Calculate hemisphere volume.,"hemisphere, volume"
hemisphere_surface_area,hemisphere_surface_area,math_engine.geometry,geometry,solid_geometry,(radius),1,radius,,numeric_value,False,,Calculate hemisphere surface area.,"hemisphere, surface area"
square_pyramid_volume,square_pyramid_volume,math_engine.geometry,geometry,solid_geometry,"(base_side, height)",2,"base_side, height",,"unknown, numeric_value",False,,Calculate square pyramid volume.,"square pyramid, volume"
square_pyramid_surface_area,square_pyramid_surface_area,math_engine.geometry,geometry,solid_geometry,"(base_side, slant_height)",2,"base_side, slant_height",,"unknown, numeric_value",False,,Calculate square pyramid surface area.,"square pyramid, surface area"
prism_volume,prism_volume,math_engine.geometry,geometry,solid_geometry,"(base_area, height)",2,"base_area, height",,"unknown, numeric_value",False,,Calculate the volume of a prism.,"prism, volume, base area"
line_equation_slope_intercept,line_equation_slope_intercept,math_engine.geometry,geometry,line_geometry,"(slope_value, y_intercept)",2,"slope_value, y_intercept",,"unknown, unknown",False,,Construct a line in slope-intercept form.,"line, slope intercept, y=mx+b"
line_equation_point_slope,line_equation_point_slope,math_engine.geometry,geometry,line_geometry,"(x1, y1, slope_value)",3,"x1, y1, slope_value",,"unknown, unknown, unknown",False,,Construct a line in point-slope form.,"line, point slope"
line_standard_form_from_points,line_standard_form_from_points,math_engine.geometry,geometry,line_geometry,"(x1, y1, x2, y2)",4,"x1, y1, x2, y2",,"unknown, unknown, unknown, unknown",False,,Construct a line in standard form from two points.,"line, standard form, two points"
line_x_intercept,line_x_intercept,math_engine.geometry,geometry,line_geometry,"(slope_value, y_intercept)",2,"slope_value, y_intercept",,"unknown, unknown",False,,Find the x-intercept of a line.,"line, x intercept"
line_y_intercept,line_y_intercept,math_engine.geometry,geometry,line_geometry,"(slope_value, y_intercept)",2,"slope_value, y_intercept",,"unknown, unknown",False,,Find the y-intercept of a line.,"line, y intercept"
line_intersection,line_intersection,math_engine.geometry,geometry,line_geometry,"(slope_1, intercept_1, slope_2, intercept_2)",4,"slope_1, intercept_1, slope_2, intercept_2",,"unknown, unknown, unknown, unknown",False,,Find the intersection of two lines.,"lines, intersection"
point_to_line_distance,point_to_line_distance,math_engine.geometry,geometry,line_geometry,"(point_x, point_y, A, B, C)",5,"point_x, point_y, A, B, C",,"point, point, bound_or_value, bound_or_value, unknown",False,,Calculate the distance from a point to a line.,"point, line, distance"
perpendicular_slope,perpendicular_slope,math_engine.geometry,geometry,line_geometry,(slope_value),1,slope_value,,unknown,False,,Calculate the slope perpendicular to a given slope.,"perpendicular, slope"
perpendicular_bisector,perpendicular_bisector,math_engine.geometry,geometry,line_geometry,"(x1, y1, x2, y2)",4,"x1, y1, x2, y2",,"unknown, unknown, unknown, unknown",False,,Find the perpendicular bisector of a segment.,"perpendicular bisector, segment, midpoint"
triangle_angle_sum_is_valid,triangle_angle_sum_is_valid,math_engine.geometry,geometry,triangle_geometry,"(angle_1, angle_2, angle_3)",3,"angle_1, angle_2, angle_3",,"angle, angle, angle",False,,Check whether three angles form a valid triangle.,"triangle, angles, valid"
triangle_exterior_angle,triangle_exterior_angle,math_engine.geometry,geometry,triangle_geometry,"(remote_angle_1, remote_angle_2)",2,"remote_angle_1, remote_angle_2",,"angle, angle",False,,Calculate a triangle exterior angle.,"triangle, exterior angle"
classify_triangle_by_side_lengths,classify_triangle_by_side_lengths,math_engine.geometry,geometry,triangle_geometry,"(side_a, side_b, side_c)",3,"side_a, side_b, side_c",,"unknown, unknown, unknown",False,,Classify a triangle using side lengths.,"triangle, side lengths, classify"
equilateral_triangle_height,equilateral_triangle_height,math_engine.geometry,geometry,triangle_geometry,(side),1,side,,numeric_value,False,,Calculate the height of an equilateral triangle.,"equilateral, triangle, height"
equilateral_triangle_area,equilateral_triangle_area,math_engine.geometry,geometry,triangle_geometry,(side),1,side,,numeric_value,False,,Calculate the area of an equilateral triangle.,"equilateral, triangle, area"
isosceles_triangle_height,isosceles_triangle_height,math_engine.geometry,geometry,triangle_geometry,"(equal_side, base)",2,"equal_side, base",,"unknown, numeric_value",False,,Calculate the height of an isosceles triangle.,"isosceles, triangle, height"
isosceles_triangle_area,isosceles_triangle_area,math_engine.geometry,geometry,triangle_geometry,"(equal_side, base)",2,"equal_side, base",,"unknown, numeric_value",False,,Calculate the area of an isosceles triangle.,"isosceles, triangle, area"
triangle_centroid,triangle_centroid,math_engine.geometry,geometry,triangle_geometry,"(x1, y1, x2, y2, x3, y3)",6,"x1, y1, x2, y2, x3, y3",,"unknown, unknown, unknown, unknown, unknown, unknown",False,,Calculate the centroid of a triangle.,"triangle, centroid"
triangle_inradius_from_area,triangle_inradius_from_area,math_engine.geometry,geometry,triangle_geometry,"(area, side_a, side_b, side_c)",4,"area, side_a, side_b, side_c",,"numeric_value, unknown, unknown, unknown",False,,Calculate triangle inradius from area and semiperimeter.,"triangle, inradius, incircle"
triangle_circumradius,triangle_circumradius,math_engine.geometry,geometry,triangle_geometry,"(side_a, side_b, side_c)",3,"side_a, side_b, side_c",,"unknown, unknown, unknown",False,,Calculate the circumradius of a triangle.,"triangle, circumradius, circumcircle"
circle_radius_from_diameter,circle_radius_from_diameter,math_engine.geometry,geometry,circle_geometry,(diameter),1,diameter,,numeric_value,False,,Calculate circle radius from diameter.,"circle, radius, diameter"
circle_radius_from_circumference,circle_radius_from_circumference,math_engine.geometry,geometry,circle_geometry,(circumference),1,circumference,,numeric_value,False,,Calculate circle radius from circumference.,"circle, radius, circumference"
circle_radius_from_area,circle_radius_from_area,math_engine.geometry,geometry,circle_geometry,(area),1,area,,numeric_value,False,,Calculate circle radius from area.,"circle, radius, area"
circle_circumference_from_diameter,circle_circumference_from_diameter,math_engine.geometry,geometry,circle_geometry,(diameter),1,diameter,,numeric_value,False,,Calculate circumference from diameter.,"circle, circumference, diameter"
chord_length,chord_length,math_engine.geometry,geometry,circle_geometry,"(radius, distance_from_center)",2,"radius, distance_from_center",,"numeric_value, unknown",False,,Calculate the length of a circle chord.,"circle, chord, length"
center_to_chord_distance,center_to_chord_distance,math_engine.geometry,geometry,circle_geometry,"(radius, chord)",2,"radius, chord",,"numeric_value, unknown",False,,Calculate distance from circle center to a chord.,"circle, chord, center, distance"
circle_equation,circle_equation,math_engine.geometry,geometry,circle_geometry,"(center_x, center_y, radius)",3,"center_x, center_y, radius",,"unknown, unknown, numeric_value",False,,Construct the equation of a circle.,"circle, equation, center, radius"
circle_center_radius_from_standard,circle_center_radius_from_standard,math_engine.geometry,geometry,circle_geometry,"(h, k, radius_squared)",3,"h, k, radius_squared",,"unknown, unknown, unknown",False,,Extract a circle's center and radius from its equation.,"circle, center, radius, equation"
regular_polygon_exterior_angle,regular_polygon_exterior_angle,math_engine.geometry,geometry,polygon_geometry,(number_of_sides),1,number_of_sides,,unknown,False,,Calculate each exterior angle of a regular polygon.,"polygon, exterior angle"
polygon_exterior_angle_sum,polygon_exterior_angle_sum,math_engine.geometry,geometry,polygon_geometry,(),0,,,,False,,Calculate the exterior-angle sum of a polygon.,"polygon, exterior angles, angle sum"
polygon_diagonals,polygon_diagonals,math_engine.geometry,geometry,polygon_geometry,(number_of_sides),1,number_of_sides,,unknown,False,,Calculate the number of diagonals in a polygon.,"polygon, diagonals"
